slug;genre;poster;
monsieur_lazhar_2011;Drama;https://resizing.flixster.com/Evyz3g4_n9qseWnxajVarS-RPA8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8833591_p_v8_aa.jpg;
truman_2017;Comedy,Drama;https://resizing.flixster.com/oqQuaOC99F0_rgSMKBa9uzpdtGc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12067326_p_v8_av.jpg;
wild_rose_2019;Comedy,Drama,Music;https://resizing.flixster.com/nhlzbFNAXi8jSSSpD_n_sTPL-64=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15980557_p_v8_at.jpg;
queen_of_katwe_2016;Biography,Drama;https://resizing.flixster.com/f5B1CTtxSRzLnre8lHKZe0EbJ3Y=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12806084_p_v8_ak.jpg;
heal_the_living;Drama;https://resizing.flixster.com/Oi-539spgCwpwmDhWpSKzcvdpRg=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13267799_p_v8_ae.jpg;
menashe;Comedy,Drama;https://resizing.flixster.com/hKm-pyrxYhlScMePGhMrCK4hnqs=/206x305/v2/https://resizing.flixster.com/Uzhewhv3ov_XItwGJzOchaepEDc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhiYjQwZmZlLTNhYTktNGJmZC04MzRiLTJjMGFlNDI5OTVlOC53ZWJw;
sink_or_swim_2019;Comedy,Drama;https://resizing.flixster.com/qBOsbHlxbedRMy6GKYwkQjvqcI4=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16200283_p_v8_ab.jpg;
venus_2018;Comedy,Drama;https://resizing.flixster.com/xIA6C-3Ie-QBZaVTG_Y-_lqGU8U=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15223114_p_v8_aa.jpg;
hunt_for_the_wilderpeople;Comedy,Adventure;https://resizing.flixster.com/6S1OQYFo9lQc619jTaUkGQoJ9-4=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12664790_p_v8_ah.jpg;
fighting_with_my_family;Comedy,Drama,Biography;https://resizing.flixster.com/RhcMnbXs6VTx1gkJiTLQGS96CMI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14806404_p_v12_ap.jpg;
